,author,published_at,updated_at,like_count,text
0,Edmunds Cars,2023-02-23T17:02:23Z,2023-02-23T17:02:23Z,8,"The ID.4 experience is one of peaks and valleys; we love how it drives, but the user experience drives us up a wall. What&#39;s more important to you? Let us know in the comments below!"
1,special cook day,2023-09-23T22:22:43Z,2023-09-23T22:22:43Z,0,There is one true ID4.  It&#39;s when Presid Whitmore gives speach 2 fight back on ID4 day against allen. 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣
2,Austin Wyatt Petersen,2023-09-10T20:55:58Z,2023-09-10T20:55:58Z,0,When is the next update video?
3,Derek Gzaskow,2023-08-30T23:22:12Z,2023-08-30T23:22:12Z,0,wheres the wrap up video after the update?
4,--,2023-08-06T01:16:07Z,2023-08-06T01:16:07Z,0,"I bought mine 8 months ago and I’m super happy,  my experience has been fantastic; great size, amazing torque, good suspension, super quit and the look and feel is perfect."
5,nurpurp15,2023-07-05T04:15:30Z,2023-07-05T04:15:30Z,2,"Regarding the rolled down windows, that&#39;s actually a feature on many cars. My old 2003 Lexus ES does that too."
6,Stefan,2023-06-23T15:02:55Z,2023-06-23T15:02:55Z,0,"The whole ID serie is way too expensive! Very poor battery management, software issues, etc. VW macht alles kaput!"
7,Scoobie6789 Doo,2023-06-23T02:42:04Z,2023-06-23T02:42:04Z,0,Had software issues with this and never recommend it to anyone .
8,jay tee's Gear Garage,2023-06-19T03:54:12Z,2023-06-19T03:54:12Z,2,This is SO HELPFUL! Ive been very drawn to these but with those user errors Im not even going to take time to look at it
9,Dave auf dem BMW,2023-06-06T06:28:36Z,2023-06-06T06:29:08Z,1,31’ turning radius vs 40’ in a depla Why lol. <br>That’s a safety issue needing almost 50% more room to make a U-turn. <br>That’s why they call it a Y-turn??!! 😅
10,Dave auf dem BMW,2023-06-06T06:26:00Z,2023-06-06T06:26:00Z,1,"The 2023 are great and the dash is much quicker. No CarPlay issues, don’t get an android lol."
11,safa mehdi,2023-05-11T23:05:08Z,2023-05-11T23:05:08Z,0,I have 2022 id 4 pro s and I love ot! I had no issues with it at all!
12,Nikos DR,2023-05-06T16:04:31Z,2023-05-06T16:04:31Z,1,So you driving an electric car and the 90% of the presentation is about the multimedia and touch buttons??? 🤣🤣🤣🤣🤣
13,Easy Explorers,2023-04-25T15:52:21Z,2023-04-25T15:52:21Z,0,I share your pros and cons 100% - I have exactly this car (and same color)😅
14,COMMONCENTS,2023-04-19T09:41:53Z,2023-04-19T09:41:53Z,0,In 1937 Hitler and the Nazi party invented this very car brand.. Volkswagen t..phe people&#39;s wagon he would be very proud that people literally are still buying it. I literally can&#39;t even believe they are still in business.. it literally shows the biggest failure in.. in our school system for not teaching everyone history
15,JG,2023-04-11T22:10:02Z,2023-04-11T22:10:02Z,0,"touch only controls should be made illegal in road vehicles. Mechanical buttons, knows, and switches should be mandatory"
16,Aaron Christensen,2023-03-26T23:26:28Z,2023-03-26T23:26:28Z,1,"Thinking of purchasing a EV (maybe an id 4) but we are snowbirds and would be leaving it behind outside in the cold North Idaho winters. <br>Is storing it 4 months in the cold bad for the battery health, should that be left plugged in?<br><br>Any help would be appreciated, we can&#39;t seem to find any info on this subject.<br><br>Thanks!"
17,Kenneth Truong,2023-03-20T02:23:22Z,2023-03-20T02:23:22Z,2,I bought a VW id4 hot wheel so far I have had no issues besides the braking when I sent it across the patio table and it fell off and scratched on the concrete
18,K Larsen,2023-03-12T11:07:11Z,2023-03-12T11:07:11Z,3,"I have the ID4 2023 model with 3.1 software and have no software issues. In the 6 months I have had it, at no point has it been necessary to roll down the rear windows, so I really can´t see the problem with the lack of bottons. The volume it controled at the steering wheel, but if you insist on using the bar under the screen, just slide it and it doesn´t matter where you hit it. Same with the temp control."
19,Robert T,2023-03-10T03:54:08Z,2023-03-10T03:54:08Z,0,I heard VW discontinued software updates for many owners a while back. Believe they were taking way too long to update and the process was not going smoothly for the dealerships. I’m sure they will get Edmunds’ taken care of tho  🤷‍♂️
20,Riyad Kalla,2023-03-09T14:25:28Z,2023-03-09T14:25:28Z,0,My takeaway from this review: &quot;... at least it&#39;s terrible!&quot;<br><br>🤔
21,Ferdinand Arcinue,2023-03-06T13:52:00Z,2023-03-06T13:52:00Z,0,Bring back physical buttons in cars!  It’s like car designers designed their interfaces from a desk and not while driving.
22,CMCNestT,2023-03-05T07:31:43Z,2023-03-05T07:31:43Z,0,That it is similar to crappy ICEv is not a good thing.
23,Dionisio Ramírez,2023-03-04T19:33:51Z,2023-03-04T19:45:48Z,20,"I have an European 2021 ID.4 with 3.0 Over The Air software. It works great now. It is a good car that, nevertheless, had several noticeable issues at the beginning. There are no software bugs anymore and, for example, Travel Assist works great now: it follows the road curves very accurately and the steering wheel turns smoothly (in this aspect, comparable to the Tesla SFD). After 1 year and 4 month I can say that the car is worth it."
24,Bill Shoe,2023-03-03T02:43:22Z,2023-03-03T02:43:22Z,1,What a disaster
25,Jarod John,2023-03-01T02:53:50Z,2023-03-01T02:53:50Z,1,"Have 33k miles on my 21 pro s and it&#39;s been an absolute nightmare. Worst car by far I&#39;ve owned. Suspension issues, ac control module failed from factory, faulty 12 v battery, and infotainment system is absolute garbage. I know there is a planned update, but my wife got it on hers and it&#39;s a very lack luster update. The current issue is there is a recall pending for a software bug that may cause lost of propulsion during driving. On top of all that seats are wearing out and cracking despite not using them, and a similar story on leather steering wheel starting to crack. While everyones dealer will be different but the two dealers in my area have been slow and frequently have to bring vehicle in multiple times before issues are actually fixed. Extremely poor ownership experience overall."
26,Danny Briseno,2023-02-28T16:12:34Z,2023-02-28T16:12:34Z,1,Driven my ID.4 for 30k miles….catch up
27,Car0917,2023-02-28T01:22:51Z,2023-02-28T01:22:51Z,0,it could be a consideration for purchasing because the price is cheaper and the specs are almost the same as competitors
28,Chris Lamb,2023-02-28T00:57:28Z,2023-02-28T00:57:28Z,5,"I got one of these right before Christmas. I have 4450 miles on it and no software issues. Some things require more touches than they should, like changing stations on the radio, but not really the climate control. Just set it on auto and touch the “buttons” to raise and lower the temp. The travel assist works very well, once I’m on the highway, I don’t need to steer or work the pedals, and that’s with lots of curves and stop and go traffic. Where I live, teslas are extremely common, and I didn’t want the same thing as everyone else. You do give up is a little range, I have the awd and I only get about 265. It’s a good car if you want something different."
29,Scott Laughlin,2023-02-27T19:35:10Z,2023-02-27T19:35:10Z,3,"I think being aware of the issues, I still feel Comfortable purchasing an AWD, Pro S this summer"
30,Andrew Ibarra,2023-02-27T00:15:13Z,2023-02-27T00:15:13Z,6,"I don&#39;t know why everyone freaks out about the window buttons. Every reviewer is always driving by themselves yet whining that they can&#39;t roll down the back windows easily... but why and who, when driving solo, needs to roll down the rear windows? I own an ID.4 and don&#39;t find it a bother at all. When my kids are in the car with me in the back, they can roll down the windows on their own."
31,Benjamin Schneider,2023-02-26T23:24:51Z,2023-02-26T23:24:51Z,0,"With buttons on the ignition key to open all the windows, Volkswagen has been doing this for a long time. He was already with my Golf 3."
